Protein Details,Gene Name,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,63,1.0,1968682161.7460318,2116172674.036552,False,21,1.0,768920612.8571428,1470338944.6890013,False,0.0,2.560319139359305,1.356323650879378,1.0,0.0,1.0,1.0,5611.5,2.382426555880295,0.019512868543226494,0.6004224641126419,88.0,990.0,0.0007034085021488785,0.020218148130670466,206.0,0.0007034085021488785,0.03366204644775569,True,88.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,61,0.9682539682539683,3162413.973015873,4263550.203009121,False,20,0.9523809523809523,2739313.50952381,8080506.438012188,False,1.0,1.154454925301507,0.20721184542604262,1.0,0.33945005147821167,0.7342707187401732,0.8620356408611465,5031.0,0.30311093489151236,0.7625729829814316,0.8875361717649671,5126.0,948.0,0.003132309040417673,0.02835714072098913,659.0,0.003132309040417673,0.06642425024335961,False,659.0
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,63,1.0,833752847.6190476,1326854777.022537,False,21,1.0,374715015.71428573,628988071.3928014,False,0.0,2.2250318579567376,1.153825992702478,1.0,0.0,1.0,1.0,5611.5,1.5108340647471712,0.1346749097540969,0.6004224641126419,1301.0,889.0,0.019031420358359682,0.07615120983096839,1491.0,0.019031420358359682,0.20083983583368017,False,1301.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,63,1.0,301473579.36507934,389845832.40166575,False,21,1.0,97366622.38095239,131509660.00090429,False,0.0,3.0962723363818037,1.630532371052107,1.0,0.0,1.0,1.0,5611.5,2.326790841428946,0.022444063778746193,0.6004224641126419,109.0,961.0,0.0020105021761016996,0.02518405555604634,471.0,0.0020105021761016996,0.05535181779097925,False,109.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,63,1.0,1298709902.3809524,1778333099.6463547,False,20,0.9523809523809523,480330194.85714287,1067212940.4304923,False,1.0,2.7037856796972854,1.4349807984055418,1.0,1.742453608654552,0.08142910235989026,0.20778700798935434,2313.0,1.9687944037063991,0.05235485877521162,0.6004224641126419,351.0,1002.0,0.0004444010297079515,0.019624913836310803,128.0,0.0004444010297079515,0.02840674867754613,True,128.0
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,61,0.9682539682539683,2545738.206349206,4029525.708998565,False,21,1.0,1358011.638095238,3435316.568963827,False,-1.0,1.8746070614814552,0.9065882223492095,1.0,-0.826393870541337,0.40858069932465024,0.5641269271397509,4320.0,1.197377262289183,0.23460947523157738,0.6120777359985798,2286.0,910.0,0.010411376449197235,0.05202200326290679,1194.0,0.010411376449197235,0.13405957963146195,False,1194.0
P49327 (gene FASN):  Fatty acid synthase,FASN,55,0.873015873015873,5641370.641269842,20828403.286959585,False,13,0.6190476190476191,2027248.3485714286,4514269.08797532,False,1.0,2.782772345204991,1.476522888591225,1.0,2.5667557916789914,0.010265488062812323,0.053722720862051154,1124.0,0.7795608276498592,0.4378936312933026,0.679011319769698,3847.0,813.0,0.11752883608515251,0.2530411534045543,2771.0,0.010265488062812323,0.133026389272344,False,1124.0
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,39,0.6190476190476191,200426074.92063493,388826733.0372364,False,14,0.6666666666666666,53533124.28571428,91974389.23492625,False,-1.0,3.743963715828116,1.9045664532844326,1.0,-0.3916349922227231,0.6953279290672132,0.8294670642397645,4985.0,1.6947634027724778,0.09391501463977732,0.6004224641126419,853.0,780.0,0.211024974021235,0.3794379129025581,3318.0,0.09391501463977732,0.608577455475284,False,853.0
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,63,1.0,654056497.4603175,1401818113.9190059,False,21,1.0,376738566.4285714,811499909.7691408,False,0.0,1.7361017844832805,0.7958515328426382,1.0,0.0,1.0,1.0,5611.5,0.8495099061794751,0.3980710521371481,0.6639933831981882,3576.0,870.0,0.0316625885574693,0.10751223866469085,1757.0,0.0316625885574693,0.28693519493751163,False,1757.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,63,1.0,668715268.2539682,673281602.5982335,False,21,1.0,362708338.0952381,341071218.6886549,False,0.0,1.843672168568616,0.8825821466417476,1.0,0.0,1.0,1.0,5611.5,1.975096353833226,0.05162194953129821,0.6004224641126419,345.0,851.0,0.050893803297302316,0.14768114322553774,2056.0,0.050893803297302316,0.405893285931081,False,345.0
