Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,20,1.0,7251639235.0,5828934414.892872,False,7,1.0,2306761838.571429,3339378107.381118,False,0.0,3.143644529636799,1.6524380928116171,1.0,0.0,1.0,1.0,5632.5,2.045458400532797,0.05146890493055182,0.6324960057013681,123.0,117.0,0.007679920723398985,0.12693334809660636,311.5,0.007679920723398985,0.22079158127393178,False,123.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,20,1.0,44167551.4,68715831.29910225,False,7,1.0,8217940.528571429,12698830.167733213,False,0.0,5.374527991099069,2.426138057994739,1.0,0.0,1.0,1.0,5632.5,1.3240193462653922,0.1974756474381425,0.6324960057013681,1786.0,104.0,0.0628064367194802,0.17658020804355273,2119.0,0.0628064367194802,0.4612677900719149,False,1786.0
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,20,1.0,1426316050.0,1241729009.335349,False,7,1.0,1124145047.142857,1637276412.0161018,False,0.0,1.2688007242705412,0.34346549968953843,1.0,0.0,1.0,1.0,5632.5,0.48848696710009887,0.6294625029726924,0.7622028197148534,4927.0,95.0,0.17947591860635337,0.3167909261554746,3379.0,0.17947591860635337,0.8807951717072972,False,3379.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,20,1.0,1079293280.0,986638225.7040797,False,7,1.0,292099867.14285713,332787403.9418803,False,0.0,3.694946151660339,1.8855533393920836,1.0,0.0,1.0,1.0,5632.5,1.991965747559057,0.05740434566650291,0.6324960057013681,169.0,114.0,0.013454500411022152,0.12702216069468614,590.0,0.013454500411022152,0.22868817507737363,False,169.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,20,1.0,4179506154.0,3877739029.4492292,False,7,1.0,1440990584.5714285,3103170188.7708235,False,0.0,2.900439599501646,1.5362715760875614,1.0,0.0,1.0,1.0,5632.5,1.625017289737061,0.1167010763751491,0.6324960057013681,835.0,117.0,0.007679920723398985,0.12693334809660636,311.5,0.007679920723398985,0.22079158127393178,False,311.5
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,20,1.0,24848752.45,33949067.84738901,False,7,1.0,4074034.9142857143,5804514.599685134,False,0.0,6.099297863859997,2.6086431727361497,1.0,0.0,1.0,1.0,5632.5,1.5500079942972418,0.13370753890314216,0.6324960057013681,1047.0,106.0,0.0477979347544565,0.15780318692488784,1800.5,0.0477979347544565,0.39188613661716104,False,1047.0
P49327 (gene FASN):  Fatty acid synthase,FASN,19,0.95,14400972.59,28082286.200952284,False,7,1.0,6081745.045714286,8187767.644942455,False,-1.0,2.3679013970087053,1.2436090062167136,1.0,-0.6028777143513754,0.5465900424550065,0.6730559738465571,4689.5,0.7432263567488389,0.46427235009259027,0.6749237556812729,4103.0,86.0,0.39984459984459986,0.5555520429032144,4268.0,0.39984459984459986,1.0,False,4103.0
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,17,0.85,1156208357.0,892100897.3874668,False,6,0.8571428571428571,160599372.85714287,208088576.0908847,False,-1.0,7.199332951495824,2.8478632409785045,1.0,-0.04578507717505182,0.9634815530265539,1.0,5296.0,2.8145936705242436,0.009382615092320964,0.6324960057013681,3.0,112.5,0.019946919233392802,0.12907084614579334,918.0,0.009382615092320964,0.22079158127393178,False,3.0
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,20,1.0,684657300.0,986452028.7689711,False,7,1.0,1130215699.2857144,2106908571.2190151,False,0.0,0.6057757828286197,-0.7231441903945617,-1.0,0.0,1.0,1.0,5632.5,-0.7136081287627338,0.4820788786407332,0.6861613495117831,4191.0,88.0,0.3410943323986802,0.487300954763057,4174.0,0.3410943323986802,1.0,False,4174.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,20,1.0,2334282900.0,2004054975.8574214,False,7,1.0,1088125014.2857144,904686137.3906618,False,0.0,2.1452341131338737,1.1011351001382208,1.0,0.0,1.0,1.0,5632.5,1.529466136537511,0.1387048118352816,0.6324960057013681,1093.0,111.0,0.02242491807709199,0.13185678880275506,994.5,0.02242491807709199,0.27403269539620984,False,994.5
"Q04695 (gene KRT17):  Keratin, type I cytoskeletal 17",KRT17,20,1.0,256356169.95,278817439.02947384,False,7,1.0,117515144.28571428,235238698.30252528,False,0.0,2.181473473127171,1.1253029305466091,1.0,0.0,1.0,1.0,5632.5,1.134303414435137,0.2674270475557858,0.6324960057013681,2519.0,108.0,0.03578707926534014,0.14486896301032437,1455.0,0.03578707926534014,0.33818223056550045,False,1455.0
P06702 (gene S100A9):  Protein S100-A9,S100A9,20,1.0,2095674321.5,2378131759.6956596,False,7,1.0,249210481.0,306105854.0507284,False,0.0,8.409254350341676,3.0719778821978845,1.0,0.0,1.0,1.0,5632.5,1.9709993275258295,0.05989068518466047,0.6324960057013681,189.0,117.0,0.007679920723398985,0.12693334809660636,311.5,0.007679920723398985,0.22079158127393178,False,189.0
P01857 (gene IGHG1):  Immunoglobulin heavy constant gamma 1,IGHG1,20,1.0,2571452821.75,2425298583.4899187,False,7,1.0,805480169.5714285,1298951790.3030806,False,0.0,3.19244708795027,1.6746627087034585,1.0,0.0,1.0,1.0,5632.5,1.7671811468519874,0.08940483809346741,0.6324960057013681,455.0,111.0,0.02242491807709199,0.13185678880275506,994.5,0.02242491807709199,0.27403269539620984,False,455.0
P07355;A6NMY6 (gene ANXA2;ANXA2P2):  Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,20,1.0,268723015.85,297419776.7105411,False,7,1.0,94083334.42857143,168923807.24712726,False,0.0,2.856223341595244,1.5141087949180787,1.0,0.0,1.0,1.0,5632.5,1.4170374878007301,0.1688142498572199,0.6324960057013681,1447.0,112.0,0.01901287118678423,0.12702216069468614,886.5,0.01901287118678423,0.2539495287321375,False,886.5
P05109 (gene S100A8):  Protein S100-A8,S100A8,20,1.0,1308416778.5,1700770141.4127932,False,7,1.0,180345672.85714287,335266920.6701476,False,0.0,7.255049471225341,2.8589854518727402,1.0,0.0,1.0,1.0,5632.5,1.6772375019974575,0.1059572460647282,0.6324960057013681,700.0,115.0,0.011224846007454704,0.12693334809660636,462.5,0.011224846007454704,0.22437084171819727,False,462.5
Q09666 (gene AHNAK):  Neuroblast differentiation-associated protein AHNAK,AHNAK,20,1.0,19607599.75,21785412.65677486,False,7,1.0,2483647.4200000004,3858501.8979878095,False,0.0,7.894679249598199,2.980880652480158,1.0,0.0,1.0,1.0,5632.5,1.990234425738458,0.05760615527716054,0.6324960057013681,170.0,114.0,0.013454500411022152,0.12702216069468614,590.0,0.013454500411022152,0.22868817507737363,False,170.0
P08670 (gene VIM):  Vimentin,VIM,20,1.0,653325763.5,982601319.8143835,False,7,1.0,310443782.14285713,656910525.7877975,False,0.0,2.1044897694209785,1.0734704963069108,1.0,0.0,1.0,1.0,5632.5,0.8261224007509421,0.4165494439165175,0.6611125815316236,3754.0,114.0,0.013454500411022152,0.12702216069468614,590.0,0.013454500411022152,0.22868817507737363,False,590.0
P35579 (gene MYH9):  Myosin-9,MYH9,20,1.0,102558006.875,173311150.67385936,False,7,1.0,76753251.18571427,180107214.73946062,False,0.0,1.3362040733212264,0.418140361917419,1.0,0.0,1.0,1.0,5632.5,0.32291466934459934,0.7494452142435921,0.8744748969640662,5113.0,111.0,0.02242491807709199,0.13185678880275506,994.5,0.02242491807709199,0.27403269539620984,False,994.5
P04406 (gene GAPDH):  Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,20,1.0,745238328.15,875528424.0336231,False,7,1.0,401417674.4285714,782565775.1918535,False,0.0,1.8565159822891815,0.8925977350526562,1.0,0.0,1.0,1.0,5632.5,0.8838086210117468,0.3852202781917671,0.657538366083908,3493.0,104.0,0.0628064367194802,0.17658020804355273,2119.0,0.0628064367194802,0.4612677900719149,False,2119.0
P02461 (gene COL3A1):  Collagen alpha-1(III) chain,COL3A1,18,0.9,9091737.4,17737033.08990536,False,5,0.7142857142857143,239650.11428571428,417956.1183229901,False,1.0,37.93754668993299,5.2455544817889495,1.0,1.1904120065513517,0.23388449627578933,0.3933053421925212,3453.0,1.2704560825473212,0.2156187060579189,0.6324960057013681,1976.0,117.0,0.009974755458476904,0.12693334809660636,421.0,0.009974755458476904,0.22079158127393178,False,421.0
P68871 (gene HBB):  Hemoglobin subunit beta,HBB,20,1.0,10881305430.0,11630447753.921562,False,7,1.0,1349798630.0,2274711162.21871,False,0.0,8.061428711036692,3.011035547396669,1.0,0.0,1.0,1.0,5632.5,2.072594358823616,0.04867138460608121,0.6324960057013681,101.0,117.0,0.007679920723398985,0.12693334809660636,311.5,0.007679920723398985,0.22079158127393178,False,101.0
P23527 (gene H2BC17):  Histone H2B type 1-O,H2BC17,16,0.8,669661952.5,1127482516.5558577,False,4,0.5714285714285714,10385039.42857143,18814412.22456503,False,1.0,64.48333269275363,6.010854403502915,1.0,1.1876919823329448,0.2349547837033431,0.3933053421925212,3515.5,1.488586347091048,0.14910345265865715,0.6324960057013681,1228.0,111.0,0.023808920666408825,0.13185678880275506,1031.5,0.023808920666408825,0.2875385034327835,False,1031.5
