Protein Details,Gene Name,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,21,1.0,5906046485.238095,4442335315.279155,False,7,1.0,2306761838.571429,3339378107.381118,False,0.0,2.560319139359307,1.356323650879379,1.0,0.0,1.0,1.0,5543.0,1.8949058445609457,0.06927675957873507,0.7309836941303514,81.0,114.0,0.031465153204283634,0.28462281343527285,571.0,0.031465153204283634,0.6378971429490139,False,81.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,21,1.0,9487241.91904762,10868361.284760816,False,7,1.0,8217940.528571429,12698830.167733213,False,0.0,1.154454925301788,0.20721184542639365,1.0,0.0,1.0,1.0,5543.0,0.2468399499568411,0.8069707135574413,0.9421501520711731,5110.0,93.0,0.32125772777946693,0.5307810807947029,3385.5,0.32125772777946693,1.0,False,3385.5
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,21,1.0,2501258542.857143,3161903883.582222,False,7,1.0,1124145047.142857,1637276412.0161018,False,0.0,2.225031857956742,1.153825992702481,1.0,0.0,1.0,1.0,5543.0,1.0638702439766434,0.2971688028530414,0.7309836941303514,2036.0,103.0,0.12592142157359548,0.33934532384723143,2121.0,0.12592142157359548,0.8869506506588792,False,2036.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,21,1.0,904420738.0952381,824245410.4111241,False,7,1.0,292099867.14285713,332787403.9418803,False,0.0,3.096272336381825,1.630532371052117,1.0,0.0,1.0,1.0,5543.0,1.8445455415968104,0.07652644073993628,0.7309836941303514,105.0,112.0,0.04182628965237661,0.28462281343527285,837.5,0.04182628965237661,0.6643166262602261,False,105.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,21,1.0,3896129707.142857,4041949479.939602,False,7,1.0,1440990584.5714285,3103170188.7708235,False,0.0,2.7037856796972894,1.434980798405544,1.0,0.0,1.0,1.0,5543.0,1.415761239266268,0.1687137715673619,0.7309836941303514,785.0,114.0,0.031465153204283634,0.28462281343527285,571.0,0.031465153204283634,0.6378971429490139,False,571.0
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,21,1.0,7637214.619047619,10012201.31463634,False,7,1.0,4074034.9142857143,5804514.599685134,False,0.0,1.8746070614823758,0.9065882223499181,1.0,0.0,1.0,1.0,5543.0,0.860410534142984,0.3974277274401332,0.7309836941303514,2950.0,96.0,0.24948988209857775,0.4678119370281124,3174.0,0.24948988209857775,1.0,False,2950.0
P49327 (gene FASN):  Fatty acid synthase,FASN,20,0.9523809523809523,16924111.92380952,54466400.71533745,False,7,1.0,6081745.045714286,8187767.644942455,False,-1.0,2.7827723452059048,1.4765228885916988,1.0,-0.5879447357921321,0.5565693876824565,0.726743919219422,4134.0,0.5056179906458226,0.6173847439900739,0.7675176875692395,4799.0,77.0,0.8764703895138678,1.0,5189.0,0.5565693876824565,1.0,False,4134.0
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,13,0.6190476190476191,601278224.7619047,863137387.646791,False,6,0.8571428571428571,160599372.85714287,208088576.0908847,False,-1.0,3.743963715828161,1.9045664532844502,1.0,-1.168127740084104,0.2427552423358711,0.5112170052156042,2831.5,1.289235393985134,0.2086685132796797,0.7309836941303514,1148.0,86.0,0.5173803235046612,0.7073077474859782,4363.0,0.2086685132796797,1.0,False,1148.0
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,21,1.0,1962169492.3809524,3196997820.1993766,False,7,1.0,1130215699.2857144,2106908571.2190151,False,0.0,1.7361017844832833,0.7958515328426405,1.0,0.0,1.0,1.0,5543.0,0.6200889467815609,0.5405964750068459,0.7309836941303514,4075.0,101.0,0.15527515962298571,0.37811085808601336,2446.0,0.15527515962298571,0.9827138638374109,False,2446.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,21,1.0,2006145804.7619047,1445773986.8994443,False,7,1.0,1088125014.2857144,904686137.3906618,False,0.0,1.8436721685686193,0.8825821466417502,1.0,0.0,1.0,1.0,5543.0,1.522543999581169,0.13994385223817113,0.7309836941303514,535.0,101.0,0.15527515962298571,0.37811085808601336,2446.0,0.13994385223817113,0.9569915693925853,False,535.0
"Q04695 (gene KRT17):  Keratin, type I cytoskeletal 17",KRT17,21,1.0,323011810.2380952,482936776.0803674,False,7,1.0,117515144.28571428,235238698.30252528,False,0.0,2.748682411968577,1.4587402247313273,1.0,0.0,1.0,1.0,5543.0,1.0443415578269757,0.3059405243941892,0.7309836941303514,2106.0,114.0,0.031465153204283634,0.28462281343527285,571.0,0.031465153204283634,0.6378971429490139,False,571.0
P06702 (gene S100A9):  Protein S100-A9,S100A9,21,1.0,4397638566.428572,3514194609.206018,False,7,1.0,249210481.0,306105854.0507284,False,0.0,17.64628256717884,4.141292386782455,1.0,0.0,1.0,1.0,5543.0,3.005840533823646,0.0058025629987667054,0.7309836941303514,1.0,130.0,0.0015692037431167868,0.28462281343527285,6.0,0.0015692037431167868,0.4130236557985919,False,1.0
P01857 (gene IGHG1):  Immunoglobulin heavy constant gamma 1,IGHG1,21,1.0,2565385749.857143,2295045764.262228,False,7,1.0,805480169.5714285,1298951790.3030806,False,0.0,3.184914845541267,1.6712547999360048,1.0,0.0,1.0,1.0,5543.0,1.8583367774107629,0.07447868108716772,0.7309836941303514,95.0,111.0,0.04794601533731968,0.28462281343527285,1002.0,0.04794601533731968,0.6643166262602261,False,95.0
P07355;A6NMY6 (gene ANXA2;ANXA2P2):  Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,21,1.0,332381527.3333333,421846906.890034,False,7,1.0,94083334.42857143,168923807.24712726,False,0.0,3.532841702009144,1.820829107042663,1.0,0.0,1.0,1.0,5543.0,1.4031868881866612,0.1723913622733426,0.7309836941303514,815.0,108.0,0.07063105976149454,0.2877464298513018,1450.0,0.07063105976149454,0.7151832612904004,False,815.0
