Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,60,1.0,2417213078.3333335,2621996847.9848757,False,63,1.0,1968682161.7460318,2116172674.036552,False,0.0,1.2278330780370847,0.29611444193223757,1.0,0.0,1.0,1.0,5786.0,1.0377803758305235,0.3014417349095082,0.6381380402114618,2685.0,2051.0,0.4167348896557864,0.7414787837199549,3349.0,0.3014417349095082,1.0,False,2685.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,59,0.9833333333333333,14722517.133333333,38812719.29985649,False,61,0.9682539682539683,3162413.973015873,4263550.203009121,False,1.0,4.655468025044291,2.2189262125678892,1.0,0.5419138630083499,0.5878778461994884,0.8492201526455563,4129.0,2.330043476216546,0.021460421844919197,0.426520858123422,298.0,2273.0,0.05294265876638876,0.34483022935190805,914.0,0.021460421844919197,0.5696156936396383,False,298.0
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,60,1.0,475438683.3333333,511670560.64560044,False,63,1.0,833752847.6190476,1326854777.022537,False,0.0,0.5702393517348042,-0.8103604930129445,-1.0,0.0,1.0,1.0,5786.0,-1.9417544190534703,0.05449119877797025,0.48781764742736305,663.0,1731.0,0.4225649448923763,0.7454235544730683,3382.0,0.05449119877797025,0.7649066742700162,False,663.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,60,1.0,359764426.6666667,452983534.65762854,False,63,1.0,301473579.36507934,389845832.40166575,False,0.0,1.1933530872733524,0.25502096833996213,1.0,0.0,1.0,1.0,5786.0,0.7598004081242125,0.4488517186340043,0.7241964297904175,3697.0,2047.0,0.42844250733278155,0.7504651668490077,3406.0,0.42844250733278155,1.0,False,3406.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,60,1.0,1393168718.0,1667732894.5521426,False,63,1.0,1298709902.3809524,1778333099.6463547,False,0.0,1.0727328061839472,0.10129077768201641,1.0,0.0,1.0,1.0,5786.0,0.3010367145176081,0.763903181720199,0.9255577542938073,4924.0,2016.0,0.5254247139854493,0.8258215075320388,3773.0,0.5254247139854493,1.0,False,3773.0
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,60,1.0,8282917.483333333,19418663.978770968,False,61,0.9682539682539683,2545738.206349206,4029525.708998565,False,1.0,3.2536407171295325,1.7020549503856652,1.0,1.3914904141276763,0.1640767644601807,0.5087744162003327,1861.5,2.275030284169807,0.024664356476774316,0.43015016938321315,337.0,2307.5,0.03486300935408176,0.3040829149217131,684.0,0.024664356476774316,0.5854677085163219,False,337.0
P49327 (gene FASN):  Fatty acid synthase,FASN,54,0.9,4800324.196666667,13823564.779408205,False,55,0.873015873015873,5641370.641269842,20828403.286959585,False,1.0,0.8509145209408345,-0.23291388237524133,-1.0,0.47100938510158485,0.6376340328802272,0.8917310455141673,4257.0,-0.2603820489957306,0.7950116728407179,0.9432068497355209,5028.0,2164.0,0.1660912207735643,0.5147566861628666,1883.0,0.1660912207735643,1.0,False,1883.0
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,49,0.8166666666666667,385402785.6666667,370529538.90307814,False,39,0.6190476190476191,200426074.92063493,388826733.0372364,False,1.0,1.922917393953243,0.9432967876940471,1.0,2.4280179850666364,0.015181590405752031,0.23343651639359952,387.0,2.6764181198638677,0.008473153866277842,0.3663104055522725,138.0,2618.0,0.00019599067609216454,0.04032001288158116,29.0,0.00019599067609216454,0.10673726401956757,False,29.0
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,60,1.0,228219100.0,374125869.1008277,False,63,1.0,654056497.4603175,1401818113.9190059,False,0.0,0.34892872540241987,-1.5189957232372047,-1.0,0.0,1.0,1.0,5786.0,-2.258476229773688,0.02570724049110872,0.43015016938321315,353.0,1600.0,0.14297170201992868,0.5039447599673988,1648.0,0.02570724049110872,0.59093212513055,False,353.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,60,1.0,778094300.0,874094070.8150029,False,63,1.0,668715268.2539682,673281602.5982335,False,0.0,1.163565925497143,0.21855295349646836,1.0,0.0,1.0,1.0,5786.0,0.7732700512878967,0.44087059843790943,0.7191584364502915,3657.0,2176.0,0.14857739406534823,0.5039447599673988,1683.0,0.14857739406534823,1.0,False,1683.0
