Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,60,1.0,2417213078.3333335,2621996847.9848757,False,21,1.0,768920612.8571428,1470338944.6890013,False,0.0,3.143644529636797,1.6524380928116162,1.0,0.0,1.0,1.0,5693.5,2.700281944633111,0.008472754018117798,0.3236688001045334,90.0,1002.0,6.236985509560123e-05,0.002840446988552343,130.5,6.236985509560123e-05,0.004045788412068616,True,90.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,59,0.9833333333333333,14722517.133333333,38812719.29985649,False,20,0.9523809523809523,2739313.50952381,8080506.438012188,False,1.0,5.374527991097761,2.426138057994388,1.0,0.7866712896136168,0.43147431503939515,0.5401124136645054,4732.5,1.3867880093304712,0.16940720269909498,0.39546867618854614,2553.0,975.5,0.00020073426156648775,0.004277073587520236,280.0,0.00020073426156648775,0.0068563775067118264,True,280.0
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,60,1.0,475438683.3333333,511670560.64560044,False,21,1.0,374715015.71428573,628988071.3928014,False,0.0,1.2688007242705388,0.34346549968953566,1.0,0.0,1.0,1.0,5693.5,0.7204975607838147,0.47334526838251867,0.6321271522253451,4467.0,833.0,0.02908406393980892,0.07024920059307692,2470.0,0.02908406393980892,0.1962845310688914,False,2470.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,60,1.0,359764426.6666667,452983534.65762854,False,21,1.0,97366622.38095239,131509660.00090429,False,0.0,3.694946151660314,1.885553339392074,1.0,0.0,1.0,1.0,5693.5,2.583719354349639,0.011617384922618093,0.3236688001045334,142.0,968.0,0.0002755729593271221,0.0047279114787194005,336.0,0.0002755729593271221,0.00821386733314314,True,142.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,60,1.0,1393168718.0,1667732894.5521426,False,20,0.9523809523809523,480330194.85714287,1067212940.4304923,False,1.0,2.900439599501642,1.5362715760875594,1.0,1.7008401285415204,0.08897301170181368,0.16454215369281477,3224.0,2.316666906817209,0.0231139692828746,0.3236688001045334,378.0,1003.0,5.958772901655284e-05,0.002840446988552343,121.0,5.958772901655284e-05,0.004045788412068616,True,121.0
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,60,1.0,8282917.483333333,19418663.978770968,False,21,1.0,1358011.638095238,3435316.568963827,False,0.0,6.099297863857003,2.6086431727354413,1.0,0.0,1.0,1.0,5693.5,1.6051276116825284,0.11245612591724664,0.35776908701114546,1875.0,966.0,0.00029955097776231273,0.004817038095228997,371.0,0.00029955097776231273,0.00844309196848799,True,371.0
P49327 (gene FASN):  Fatty acid synthase,FASN,54,0.9,4800324.196666667,13823564.779408205,False,13,0.6190476190476191,2027248.3485714286,4514269.08797532,False,1.0,2.3679013970079272,1.2436090062162395,1.0,2.9306171023642986,0.0033828946508046745,0.014829059137913804,1358.0,0.8913841416555492,0.37543001706765744,0.5619569282257469,3985.0,831.0,0.030283421759889004,0.07270458519899307,2485.0,0.0033828946508046745,0.038622817029377726,True,1358.0
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,49,0.8166666666666667,385402785.6666667,370529538.90307814,False,14,0.6666666666666666,53533124.28571428,91974389.23492625,False,1.0,7.1993329514957365,2.847863240978487,1.0,1.423024947075771,0.15472892348537842,0.25297691354172863,3648.5,4.01044279707276,0.0001365975895707776,0.3236688001045334,1.0,991.5,9.154911335175638e-05,0.003216715248440502,169.0,9.154911335175638e-05,0.004834074685121289,True,1.0
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,60,1.0,228219100.0,374125869.1008277,False,21,1.0,376738566.4285714,811499909.7691408,False,0.0,0.6057757828286187,-0.7231441903945641,-1.0,0.0,1.0,1.0,5693.5,-1.1043214594904687,0.2728059632205566,0.481384317235682,3381.0,762.0,0.15643110654362805,0.25278114345592767,3692.0,0.15643110654362805,0.7212271882838369,False,3381.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,60,1.0,778094300.0,874094070.8150029,False,21,1.0,362708338.0952381,341071218.6886549,False,0.0,2.1452341131338697,1.1011351001382181,1.0,0.0,1.0,1.0,5693.5,2.095561650947596,0.03932369856714219,0.3236688001045334,723.0,950.0,0.0005747554136044496,0.006036955629514342,568.0,0.0005747554136044496,0.01208809916885128,True,568.0
"Q04695 (gene KRT17):  Keratin, type I cytoskeletal 17",KRT17,60,1.0,85452056.65,141981003.66280496,False,18,0.8571428571428571,39171714.76190476,90351325.89793386,False,1.0,2.181473473127135,1.1253029305465851,1.0,2.9834709485930806,0.0028499909024986975,0.013089334660744594,1296.0,1.38058888691021,0.1712991365413622,0.39611265449835925,2580.0,896.0,0.004218255157411922,0.017352958524629758,1449.0,0.0028499909024986975,0.03421135960625197,True,1296.0
P06702 (gene S100A9):  Protein S100-A9,S100A9,60,1.0,698558107.1666666,1060445379.3984336,False,19,0.9047619047619048,83070160.33333333,163033874.8664316,False,1.0,8.409254350341609,3.071977882197873,1.0,2.4205270449649747,0.015498026409008075,0.04349069875641683,2120.0,2.615910784633783,0.010657345389624664,0.3236688001045334,122.0,1018.0,2.9652827716125065e-05,0.002184058890795088,81.0,2.9652827716125065e-05,0.0029160786289187165,True,81.0
P01857 (gene IGHG1):  Immunoglobulin heavy constant gamma 1,IGHG1,60,1.0,857150940.5833334,1031013401.2833061,False,18,0.8571428571428571,268493389.85714287,524495574.85340333,False,1.0,3.1924470879502618,1.6746627087034547,1.0,2.9834709485930806,0.0028499909024986975,0.013089334660744594,1296.0,2.4742906351196803,0.015493078278279884,0.3236688001045334,219.0,968.0,0.00027548511805241383,0.0047279114787194005,335.0,0.00027548511805241383,0.00821386733314314,True,219.0
P07355;A6NMY6 (gene ANXA2;ANXA2P2):  Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,58,0.9666666666666667,89574338.61666666,127630547.24923527,False,17,0.8095238095238095,31361111.476190478,62133124.145360075,False,1.0,2.856223341595183,1.5141087949180478,1.0,2.3665526464820994,0.017954620457140826,0.049637287139621025,2155.0,1.9835536661819195,0.050779847272660855,0.3275853316010761,920.0,940.0,0.0008494885472711001,0.007178539196911308,705.5,0.0008494885472711001,0.015221440152820844,True,705.5
P05109 (gene S100A8):  Protein S100-A8,S100A8,56,0.9333333333333333,436138926.1666667,749155629.2812161,False,17,0.8095238095238095,60115224.28571428,127142550.4272716,False,1.0,7.255049471225262,2.8589854518727247,1.0,1.6367238528981587,0.10168818264838808,0.17787283880503077,3406.0,2.260194143044002,0.026562348295137893,0.3236688001045334,455.0,962.0,0.0003511990313336479,0.005072870529168059,406.5,0.0003511990313336479,0.009128981879912988,True,406.5
Q09666 (gene AHNAK):  Neuroblast differentiation-associated protein AHNAK,AHNAK,60,1.0,6535866.583333333,11423274.19073428,False,18,0.8571428571428571,827882.4733333334,1607327.720030901,False,1.0,7.894679249591841,2.980880652478996,1.0,2.9834709485930806,0.0028499909024986975,0.013089334660744594,1296.0,2.253581801062829,0.02699436606457784,0.3236688001045334,460.0,967.0,0.0002872366436051482,0.004760149488189762,359.5,0.0002872366436051482,0.008318707843438418,True,359.5
P08670 (gene VIM):  Vimentin,VIM,60,1.0,217775254.5,378706909.71659595,False,19,0.9047619047619048,103481260.71428572,235114132.6931459,False,1.0,2.1044897694209648,1.0734704963069013,1.0,2.4205270449649747,0.015498026409008075,0.04349069875641683,2120.0,1.282099239602082,0.20355753380508776,0.42027360456312,2887.0,943.0,0.0007576072662504853,0.00688523697034918,651.0,0.0007576072662504853,0.014447414685557047,True,651.0
