Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,20,1.0,7251639235.0,5828934414.892872,False,21,1.0,5906046485.238095,4442335315.279155,False,0.0,1.2278330780370852,0.2961144419322381,1.0,0.0,1.0,1.0,5723.0,0.8131670586684803,0.42105900728399437,0.7871605431861246,3191.0,236.0,0.5059918577769523,0.9506414673789881,3135.0,0.42105900728399437,1.0,False,3135.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,20,1.0,44167551.4,68715831.29910225,False,21,1.0,9487241.91904762,10868361.284760816,False,0.0,4.6554680250452725,2.2189262125681934,1.0,0.0,1.0,1.0,5723.0,2.2266198945428455,0.03181846572387037,0.7521420675979401,109.0,273.0,0.10307473035553545,0.8313399882895016,693.0,0.03181846572387037,1.0,False,109.0
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,20,1.0,1426316050.0,1241729009.335349,False,21,1.0,2501258542.857143,3161903883.582222,False,0.0,0.5702393517348047,-0.8103604930129433,-1.0,0.0,1.0,1.0,5723.0,-1.3846266012325346,0.17403780790489137,0.7521420675979401,1190.0,185.0,0.5228166539190886,0.9603694625704224,3244.0,0.17403780790489137,1.0,False,1190.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,20,1.0,1079293280.0,986638225.7040797,False,21,1.0,904420738.0952381,824245410.4111241,False,0.0,1.193353087273355,0.25502096833996535,1.0,0.0,1.0,1.0,5723.0,0.6017821043720296,0.5508017577220689,0.8596662641088755,3820.0,219.0,0.8245495899820174,1.0,4706.0,0.5508017577220689,1.0,False,3820.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,20,1.0,4179506154.0,3877739029.4492292,False,21,1.0,3896129707.142857,4041949479.939602,False,0.0,1.0727328061839476,0.10129077768201701,1.0,0.0,1.0,1.0,5723.0,0.2232266165677075,0.8245242594393511,0.9828395068561776,5005.0,222.0,0.7642204013250614,1.0,4462.0,0.7642204013250614,1.0,False,4462.0
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,20,1.0,24848752.45,33949067.84738901,False,21,1.0,7637214.619047619,10012201.31463634,False,0.0,3.2536407171303834,1.7020549503860427,1.0,0.0,1.0,1.0,5723.0,2.169025531768354,0.03623939637586554,0.7521420675979401,148.0,273.0,0.10307473035553545,0.8313399882895016,693.0,0.03623939637586554,1.0,False,148.0
P49327 (gene FASN):  Fatty acid synthase,FASN,19,0.95,14400972.59,28082286.200952284,False,20,0.9523809523809523,16924111.92380952,54466400.71533745,False,-1.0,0.8509145209409353,-0.2329138823750704,-1.0,-0.03537691693076492,0.971779190808806,1.0,5443.5,-0.18049381577904947,0.8576995746081693,0.9971149774931268,5131.0,241.5,0.41875790012869885,0.9003175123179686,2770.5,0.41875790012869885,1.0,False,2770.5
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,17,0.85,1156208357.0,892100897.3874668,False,13,0.6190476190476191,601278224.7619047,863137387.646791,False,1.0,1.9229173939532498,0.9432967876940522,1.0,1.6683303384899877,0.09525016853710619,0.7353250429481032,701.0,1.97433573132394,0.05545553817759564,0.7521420675979401,276.0,298.0,0.021202203434549937,0.7945501703578273,147.0,0.021202203434549937,1.0,False,147.0
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,20,1.0,684657300.0,986452028.7689711,False,21,1.0,1962169492.3809524,3196997820.1993766,False,0.0,0.34892872540242026,-1.5189957232372029,-1.0,0.0,1.0,1.0,5723.0,-1.6689018896637169,0.1031465883379057,0.7521420675979401,624.0,165.0,0.24578418926992862,0.8541590255873036,1617.5,0.1031465883379057,1.0,False,624.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,20,1.0,2334282900.0,2004054975.8574214,False,21,1.0,2006145804.7619047,1445773986.8994443,False,0.0,1.1635659254971442,0.21855295349646972,1.0,0.0,1.0,1.0,5723.0,0.588469788584826,0.5596098919683941,0.8623322867765308,3871.0,225.0,0.7052899104973036,1.0,4199.0,0.5596098919683941,1.0,False,3871.0
