Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P02768 (gene ALB):  Serum albumin,ALB,38,1.0,6799671052.631579,3349476430.563274,False,33,1.0,7005342121.212121,6766195485.34489,False,0.0,0.9706408245276456,-0.04299055468534273,-1.0,0.0,1.0,1.0,5330.0,-0.16313247736850736,0.8708909801608631,0.9664686732960768,5376.0,716.0,0.3075962385533517,0.5734523586247136,3196.0,0.3075962385533517,1.0,False,3196.0
P02452 (gene COL1A1):  Collagen alpha-1(I) chain,COL1A1,38,1.0,2118543421.0526316,1861593834.0590618,False,33,1.0,1484175293.939394,2568106093.1768785,False,0.0,1.4274212956540029,0.5134112012799313,1.0,0.0,1.0,1.0,5330.0,1.184860086767336,0.2401377973069008,0.5764630957361859,2485.0,899.0,0.0017480157295333893,0.03331746404019149,313.0,0.0017480157295333893,0.08455671764105027,False,313.0
"P02533 (gene KRT14):  Keratin, type I cytoskeletal 14",KRT14,38,1.0,4759288421.052631,3200732885.4329977,False,33,1.0,5850157878.787879,3655883527.21088,False,0.0,0.8135316207976817,-0.29772967242973464,-1.0,0.0,1.0,1.0,5330.0,-1.3215509457414225,0.19068294866050597,0.5362798519039859,2116.0,519.0,0.21522636790384597,0.47592309522399745,2696.5,0.19068294866050597,1.0,False,2116.0
"P13647 (gene KRT5):  Keratin, type II cytoskeletal 5",KRT5,38,1.0,4485887631.578947,2702480465.5075035,False,33,1.0,4633107878.787879,2963238786.901678,False,0.0,0.9682242997442466,-0.04658679259047595,-1.0,0.0,1.0,1.0,5330.0,-0.21577800098586725,0.8297973926522187,0.9427860134798647,5251.0,625.0,0.9862029803738575,1.0,5811.0,0.8297973926522187,1.0,False,5251.0
"P63261 (gene ACTG1):  Actin, cytoplasmic 2",ACTG1,38,1.0,3778139473.6842103,1718485925.7864287,False,33,1.0,3683247272.7272725,2016332043.7102027,False,0.0,1.0257631904487026,0.03669770619006409,1.0,0.0,1.0,1.0,5330.0,0.2110409077439831,0.833477397934297,0.9446122262050439,5262.0,653.0,0.7687742199118759,0.9176684665854844,4993.5,0.7687742199118759,1.0,False,4993.5
P08123 (gene COL1A2):  Collagen alpha-2(I) chain,COL1A2,38,1.0,1235034736.8421052,1196130981.502085,False,33,1.0,764468730.3030303,1306791570.431757,False,0.0,1.6155464414516263,0.6920222237626209,1.0,0.0,1.0,1.0,5330.0,1.5611614575996817,0.12306083983782964,0.47425456850586817,1546.0,913.0,0.0009968722073659718,0.02417617719164792,246.0,0.0009968722073659718,0.06278703741760956,False,246.0
P49327 (gene FASN):  Fatty acid synthase,FASN,38,1.0,139923821.0526316,325223190.6496531,False,33,1.0,43331435.15151515,72314362.86982352,False,0.0,3.229152705498048,1.6911556671072165,1.0,0.0,1.0,1.0,5330.0,1.6469674060503443,0.10411205131770848,0.45272143678735455,1371.0,669.0,0.6323400315019327,0.8305901866888002,4539.5,0.10411205131770848,0.7849189109032629,False,1371.0
"P13645 (gene KRT10):  Keratin, type I cytoskeletal 10",KRT10,36,0.9473684210526315,1724497421.8421052,2133144558.777632,False,26,0.7878787878787878,2044152975.7575758,2807885318.3955693,False,1.0,0.8436244460632869,-0.2453271935641063,-1.0,2.0146207479789884,0.04394440183208269,0.3467887583732875,751.5,-0.5362124294707223,0.5935362655739855,0.8073500593740077,4386.0,683.0,0.5218602299952471,0.7511857106622667,4134.0,0.04394440183208269,0.5222555803390544,False,751.5
"P02538 (gene KRT6A):  Keratin, type II cytoskeletal 6A",KRT6A,38,1.0,1596831973.6842105,1612284382.7496908,False,33,1.0,3706629696.969697,3608809904.6063313,False,0.0,0.4308042896730897,-1.2148954795008733,-1.0,0.0,1.0,1.0,5330.0,-3.2036107218761956,0.002055047206988612,0.14141904221122048,84.0,373.0,0.0034724074637533762,0.05102557371613951,404.5,0.002055047206988612,0.09402872097245013,False,84.0
"P04264 (gene KRT1):  Keratin, type II cytoskeletal 1",KRT1,38,1.0,1982469289.4736843,1689034053.2260149,False,33,1.0,1893456969.6969697,2266852819.649845,False,0.0,1.0470104793514052,0.0662758820324697,1.0,0.0,1.0,1.0,5330.0,0.18637415956112183,0.8526982227005846,0.9567697336863037,5317.0,727.0,0.2513431235686949,0.5210260858967457,2875.0,0.2513431235686949,1.0,False,2875.0
"Q04695 (gene KRT17):  Keratin, type I cytoskeletal 17",KRT17,38,1.0,1291278842.1052632,1157475850.0462053,False,33,1.0,1040906575.7575758,954840284.0173666,False,0.0,1.240532889481906,0.31095998501949196,1.0,0.0,1.0,1.0,5330.0,0.9711697886263291,0.33485593311045814,0.6364289572911733,3139.0,711.0,0.3357302436628774,0.6002297373966816,3334.0,0.33485593311045814,1.0,False,3139.0
P06702 (gene S100A9):  Protein S100-A9,S100A9,38,1.0,2816415789.4736843,2720152799.120156,False,33,1.0,4784672727.272727,3673678528.681104,False,0.0,0.5886329013518645,-0.7645599116124746,-1.0,0.0,1.0,1.0,5330.0,-2.549161652455068,0.01302520947607253,0.26069132066579276,295.0,383.0,0.004997298355733899,0.061094020471943525,487.5,0.004997298355733899,0.16028968811993788,False,295.0
P01857 (gene IGHG1):  Immunoglobulin heavy constant gamma 1,IGHG1,38,1.0,1682137368.4210527,1318730923.409409,False,33,1.0,1737210757.5757575,1337270648.64728,False,0.0,0.9682978079000849,-0.04647726649570523,-1.0,0.0,1.0,1.0,5330.0,-0.1718942847662357,0.8640237981601172,0.9620690518520454,5358.0,625.0,0.9862029803738575,1.0,5811.0,0.8640237981601172,1.0,False,5330.0
P07355;A6NMY6 (gene ANXA2;ANXA2P2):  Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,38,1.0,1105708421.0526316,716179995.8681599,False,33,1.0,1376872424.2424242,1019759519.9642706,False,0.0,0.8030580042018113,-0.31642389873620785,-1.0,0.0,1.0,1.0,5330.0,-1.2904875341378073,0.2011891250412033,0.5409430611345428,2217.0,570.0,0.5148112510907237,0.7452957835494437,4118.0,0.2011891250412033,1.0,False,2217.0
P05109 (gene S100A8):  Protein S100-A8,S100A8,38,1.0,1676150947.368421,1981205665.4080074,False,33,1.0,4034545454.5454545,4186706997.1323423,False,0.0,0.4154497616280448,-1.2672540656225617,-1.0,0.0,1.0,1.0,5330.0,-3.0522136958367234,0.003224070450705081,0.17173932418666532,112.0,321.0,0.000428337299588613,0.015677670732181997,162.5,0.000428337299588613,0.04143989723263241,True,112.0
Q09666 (gene AHNAK):  Neuroblast differentiation-associated protein AHNAK,AHNAK,38,1.0,103722552.63157895,81764604.90549986,False,33,1.0,77238575.75757575,53128083.7860048,False,0.0,1.3428853602521826,0.4253361496983425,1.0,0.0,1.0,1.0,5330.0,1.569069011972475,0.1212067167754084,0.4717901482989376,1532.0,727.0,0.2513431235686949,0.5210260858967457,2875.0,0.1212067167754084,0.8148553401972235,False,1532.0
P08670 (gene VIM):  Vimentin,VIM,38,1.0,1669347894.7368422,958187538.3879107,False,33,1.0,1194569272.7272727,1251694037.5582223,False,0.0,1.3974475426825772,0.4827941282690945,1.0,0.0,1.0,1.0,5330.0,1.7811431127529593,0.07929024120846762,0.42570569899651894,1111.0,880.0,0.003603143357897266,0.052049281533208445,412.5,0.003603143357897266,0.1318794679338349,False,412.5
P35579 (gene MYH9):  Myosin-9,MYH9,38,1.0,298705157.8947368,223833864.20201623,False,33,1.0,286462939.3939394,213956460.70240405,False,0.0,1.0427357846941627,0.06037364453015691,1.0,0.0,1.0,1.0,5330.0,0.23128093024467303,0.8177810291500487,0.937434207797885,5202.0,652.0,0.7775984247433526,0.9219300878415823,5027.0,0.7775984247433526,1.0,False,5027.0
P04406 (gene GAPDH):  Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,38,1.0,1383648421.0526316,1180176020.1689057,False,33,1.0,1511997575.7575758,845823291.8610891,False,0.0,0.9151128568174876,-0.12797841932598578,-1.0,0.0,1.0,1.0,5330.0,-0.5121592061619735,0.6101750685255637,0.8176784498705106,4452.0,512.0,0.1868277501385447,0.44265860100339854,2517.0,0.1868277501385447,1.0,False,2517.0
P02461 (gene COL3A1):  Collagen alpha-1(III) chain,COL3A1,38,1.0,353828097.0,437100766.7998329,False,33,1.0,227603151.5151515,528497048.48850125,False,0.0,1.5545834697128267,0.6365280808847222,1.0,0.0,1.0,1.0,5330.0,1.085538871435881,0.2814611461194541,0.5996718893418234,2756.0,896.0,0.001965329072799583,0.035423423710943536,330.0,0.001965329072799583,0.09136483050640763,False,330.0
P68871 (gene HBB):  Hemoglobin subunit beta,HBB,38,1.0,2314611315.7894735,2284785794.580466,False,33,1.0,2424158484.848485,2979483257.7897162,False,0.0,0.9548102280673042,-0.06671407402386967,-1.0,0.0,1.0,1.0,5330.0,-0.17252922286077224,0.8635265580853091,0.9616948750302322,5357.0,643.0,0.8581788419489083,0.9634520170738806,5311.0,0.8581788419489083,1.0,False,5311.0
P23527 (gene H2BC17):  Histone H2B type 1-O,H2BC17,34,0.8947368421052632,3267829210.5263157,2352052508.065401,False,25,0.7575757575757576,2830041212.121212,2646826016.3136706,False,1.0,1.154693153064356,0.2075095223195287,1.0,1.5381271006612527,0.12401754088150836,0.4724704015958358,1539.5,0.7274232569832949,0.46942779350047825,0.7279974567257221,3847.0,708.0,0.35222432967069195,0.6158066367153041,3407.0,0.12401754088150836,0.8148553401972235,False,1539.5
P02787 (gene TF):  Serotransferrin,TF,38,1.0,787866052.6315789,611673333.8686568,False,33,1.0,897560515.1515151,1011429515.2219299,False,0.0,0.8777859980823468,-0.18805883751536281,-1.0,0.0,1.0,1.0,5330.0,-0.5528612958037754,0.5821451581091384,0.8013562559481126,4334.0,716.0,0.3075962385533517,0.5734523586247136,3196.0,0.3075962385533517,1.0,False,3196.0
